bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0465,0.08596493,88.2,86.82,89.56
0466,0.07742385,79.44,78.2,81.14
0467,0.06702618,68.77,67.7,70.9
0468,0.05484759,56.27,55.4,58.9
0469,0.0849467,87.16,85.8,88.56
0470,0.05229381,53.65,52.82,56.39
0471,0.06764374,69.4,68.32,71.51
0472,0.06079058,62.37,61.4,64.76
0473,0.07513186,77.09,75.88,78.89
0474,0.07691036,78.91,77.68,80.64
0475,0.08186031,83.99,82.68,85.51
0476,0.05853234,60.05,59.12,62.53
0477,0.06499832,66.69,65.65,68.9
0478,0.07676532,78.76,77.53,80.49
0479,0.08746431,89.74,88.34,91.04
0480,0.06211873,63.73,62.74,66.06
0481,0.06877054,70.56,69.46,72.62
0482,0.07592848,77.9,76.69,79.67
0483,0.06895591,70.75,69.65,72.8
0484,0.07230961,74.19,73.03,76.11
0485,0.07815757,80.19,78.94,81.87
0486,0.07797406,80.0,78.75,81.69
0487,0.09070387,93.06,91.61,94.23
0488,0.06548213,67.18,66.14,69.38
0489,0.06722051,68.97,67.89,71.09
0490,0.0809344,83.04,81.74,84.6
0491,0.08586826,88.1,86.73,89.46
0492,0.07249649,74.38,73.22,76.29
0493,0.0649347,66.62,65.58,68.84
0494,0.07221427,74.09,72.94,76.01
0495,0.09430873,96.76,95.25,97.78
0496,0.08703127,89.29,87.9,90.61
0497,0.07879647,80.85,79.58,82.5
0498,0.08176712,83.89,82.58,85.42
0499,0.08426649,86.46,85.11,87.89
0500,0.07326608,75.17,74.0,77.05
0501,0.07704953,79.05,77.82,80.77
0502,0.07612956,78.11,76.89,79.87
0503,0.07007192,71.89,70.77,73.9
0504,0.11285016,115.78,113.98,116.05
0505,0.06644249,68.17,67.11,70.32
0506,0.06748265,69.24,68.16,71.35
0507,0.07269208,74.58,73.42,76.48
0508,0.05943936,60.98,60.03,63.42
0509,0.06571926,67.43,66.38,69.61
0510,0.08155088,83.67,82.37,85.21
0511,0.0602967,61.86,60.9,64.27
0512,0.08446267,86.66,85.31,88.08
0513,0.06086044,62.44,61.47,64.83
0514,0.06259317,64.22,63.22,66.53
0515,0.08241962,84.56,83.24,86.07
0516,0.07674586,78.74,77.51,80.48
0517,0.08316359,85.33,84.0,86.8
0518,0.09426672,96.72,95.21,97.74
0519,0.07780085,79.82,78.58,81.52
0520,0.08708812,89.35,87.96,90.67
0521,0.07264457,74.53,73.37,76.44
0522,0.06220016,63.82,62.82,66.14
0523,0.07929282,81.35,80.09,82.99
0524,0.0821054,84.24,82.93,85.76
0525,0.0696885,71.5,70.39,73.52
0526,0.06745029,69.2,68.12,71.32
0527,0.09296946,95.39,93.9,96.46
0528,0.08249466,84.64,83.32,86.14
0529,0.09137694,93.75,92.29,94.89
0530,0.05995758,61.52,60.56,63.94
0531,0.08252012,84.67,83.35,86.16
0532,0.06517632,66.87,65.83,69.08
0533,0.07161014,73.47,72.33,75.42
0534,0.09369455,96.13,94.63,97.17
0535,0.08325591,85.42,84.09,86.89
0536,0.0855073,87.73,86.36,89.11
0537,0.06701683,68.76,67.69,70.89
0538,0.06921595,71.02,69.91,73.06
0539,0.06682535,68.56,67.49,70.7
0540,0.07174386,73.61,72.46,75.55
0541,0.06540174,67.1,66.06,69.3
0542,0.07709186,79.1,77.86,80.82
0543,0.08776016,90.04,88.64,91.33
0544,0.07500447,76.95,75.75,78.76
0545,0.0791551,81.21,79.95,82.85
0546,0.06690478,68.64,67.57,70.78
0547,0.08649305,88.74,87.36,90.08
0548,0.07117296,73.02,71.88,74.99
0549,0.07485664,76.8,75.61,78.61
0550,0.09159231,93.97,92.51,95.1
0551,0.05362077,55.01,54.16,57.69
0552,0.08286514,85.02,83.69,86.5
0553,0.07003226,71.85,70.73,73.86
0554,0.07310847,75.01,73.84,76.89
0555,0.09317129,95.59,94.1,96.66
0556,0.06786683,69.63,68.55,71.73
0557,0.07896358,81.02,79.75,82.66
0558,0.07415897,76.09,74.9,77.93
0559,0.06056717,62.14,61.17,64.54
0560,0.07659932,78.59,77.37,80.33
0561,0.07485074,76.8,75.6,78.61
0562,0.06678805,68.52,67.46,70.67
0563,0.06201624,63.63,62.64,65.96
0564,0.06543563,67.14,66.09,69.33
0565,0.08150274,83.62,82.32,85.16
0566,0.06583277,67.54,66.49,69.72
0567,0.05402937,55.43,54.57,58.09
0568,0.06927006,71.07,69.96,73.11
0569,0.07395764,75.88,74.7,77.73
0570,0.08552986,87.75,86.39,89.13
0571,0.08323134,85.4,84.06,86.87
0572,0.07856363,80.61,79.35,82.27
0573,0.07072182,72.56,71.43,74.54
0574,0.08064994,82.75,81.46,84.32
0575,0.06129137,62.88,61.9,65.25
0576,0.05976622,61.32,60.36,63.75
0577,0.07560015,77.57,76.36,79.35
0578,0.06597906,67.69,66.64,69.87
0579,0.07695571,78.96,77.73,80.68
0580,0.06862264,70.41,69.31,72.47
0581,0.08681787,89.08,87.69,90.4
0582,0.05975062,61.3,60.35,63.73
0583,0.08642328,88.67,87.29,90.01
0584,0.07494614,76.89,75.7,78.7
0585,0.07412175,76.05,74.86,77.89
0586,0.07830314,80.34,79.09,82.01
0587,0.08748248,89.76,88.36,91.05
0588,0.08776479,90.05,88.64,91.33
0589,0.08344918,85.62,84.28,87.08
0590,0.07768607,79.71,78.46,81.4
0591,0.0443014,45.45,44.74,48.51
0592,0.07266516,74.55,73.39,76.46
0593,0.07359367,75.51,74.33,77.37
0594,0.06936426,71.17,70.06,73.2
0595,0.05706185,58.55,57.63,61.08
0596,0.06529664,66.99,65.95,69.2
0597,0.08165094,83.77,82.47,85.31
0598,0.07292501,74.82,73.65,76.71
0599,0.0753506,77.31,76.1,79.1
0600,0.06790002,69.67,68.58,71.76
0601,0.06591302,67.63,66.57,69.8
0602,0.0722727,74.15,73.0,76.07
0603,0.07970256,81.77,80.5,83.39
0604,0.07694962,78.95,77.72,80.68
0605,0.07950586,81.57,80.3,83.19
0606,0.08424236,86.43,85.08,87.86
0607,0.07840748,80.45,79.19,82.11
0608,0.05488924,56.32,55.44,58.94
0609,0.07419018,76.12,74.93,77.96
0610,0.07153062,73.39,72.25,75.34
0611,0.07850876,80.55,79.29,82.21
0612,0.0771981,79.21,77.97,80.92
0613,0.06929555,71.1,69.99,73.14
0614,0.06330046,64.95,63.93,67.23
0615,0.08743318,89.71,88.31,91.01
0616,0.07050954,72.34,71.21,74.33
