stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
178.4,76.7,97.3,95.5,88.3,58.7,21.9,40.8,57.2,38.0,32.0
172.7,65.6,96.5,100.2,87.2,59.1,22.3,37.7,54.3,38.0,33.1
186.9,79.4,97.6,98.6,84.4,58.5,20.7,42.3,59.3,34.1,33.5
178.8,77.0,96.4,95.6,83.2,56.6,22.8,39.4,59.1,39.4,32.4
183.0,72.6,99.6,94.5,80.3,52.7,22.3,41.2,59.4,34.6,30.6
170.1,88.0,106.6,109.5,95.1,65.9,23.0,38.2,53.7,39.2,33.2
167.0,73.5,94.5,98.0,83.0,61.9,20.2,36.7,54.6,38.6,34.2
172.9,74.6,99.3,96.8,82.2,59.4,22.0,39.5,55.6,37.1,33.7
170.2,72.6,96.2,98.5,83.8,60.4,22.7,37.0,53.8,37.5,33.0
176.2,75.3,97.2,97.4,81.7,59.2,22.5,38.4,56.8,38.0,33.0
170.6,67.1,96.5,95.9,82.5,54.2,20.2,33.0,54.4,34.3,31.6
171.1,76.7,101.4,95.4,86.3,59.4,21.4,38.3,58.9,37.9,33.3
178.6,67.3,92.8,92.0,76.6,55.8,21.0,37.3,54.1,35.7,30.3
180.6,77.4,97.9,98.1,80.5,58.9,23.7,37.5,57.9,38.5,31.1
177.7,87.3,100.8,106.6,86.4,67.4,22.8,40.2,56.7,38.5,35.4
173.7,69.9,90.5,95.4,74.8,57.0,21.0,41.5,54.6,35.9,31.8
180.4,89.1,105.4,105.4,91.7,65.8,22.7,39.7,56.6,38.8,39.8
186.4,103.8,113.3,111.8,96.7,70.5,24.1,43.3,58.4,41.9,36.2
169.8,70.4,98.7,89.8,75.9,55.3,21.4,39.5,51.8,37.5,36.1
171.0,68.1,95.5,92.2,80.0,53.0,22.7,39.0,52.1,37.8,30.2
185.5,98.5,109.8,108.8,96.1,66.8,24.0,45.1,62.0,41.3,35.8
176.7,90.7,109.5,101.4,91.3,64.6,22.6,42.8,57.6,39.9,39.1
184.2,80.1,103.2,101.3,88.9,57.8,22.5,37.0,59.6,37.5,31.8
167.5,81.3,104.3,102.4,93.6,62.3,23.1,40.2,54.1,40.4,33.6
176.4,70.6,96.5,94.1,81.2,54.9,22.1,38.1,56.0,35.5,30.0
172.4,72.4,100.6,92.2,85.6,55.1,19.9,41.8,56.9,33.3,31.8
178.6,85.0,98.4,102.8,86.6,62.5,22.9,39.3,57.1,38.6,33.5
179.5,86.0,105.3,102.9,88.8,60.7,23.7,42.1,57.9,39.3,30.7
173.1,78.5,98.0,103.2,80.8,64.9,20.7,40.0,53.4,36.3,33.7
178.1,74.5,94.5,98.4,83.8,57.0,21.5,40.7,59.2,37.1,30.5
173.8,91.0,109.1,108.7,99.2,63.8,23.3,40.9,54.7,40.6,35.1
176.3,78.8,103.1,99.8,85.8,61.3,23.0,35.7,55.2,37.4,33.8
177.5,91.3,104.6,104.5,97.4,66.0,22.9,41.0,55.5,40.6,32.5
178.5,86.9,111.9,101.2,92.5,63.8,23.2,39.7,54.7,37.6,33.8
182.2,80.3,103.7,93.7,80.6,58.5,23.0,41.5,57.8,38.1,33.3
170.2,73.0,99.1,98.5,83.2,56.9,22.2,40.1,51.3,36.7,33.9
166.1,78.9,99.9,99.7,89.7,59.6,23.4,41.1,51.3,40.4,32.7
169.5,71.5,105.6,94.3,84.6,57.5,20.7,41.0,54.1,32.7,32.2
187.3,77.7,99.2,100.5,84.3,58.8,22.0,40.6,60.7,35.8,30.7
188.6,98.8,108.5,109.2,92.5,66.6,24.1,41.7,59.5,41.4,36.2
181.9,76.0,100.7,98.5,81.3,57.7,22.2,41.6,57.8,37.6,32.7
175.5,77.5,98.1,98.5,82.7,59.2,22.6,38.7,54.5,39.5,35.2
169.2,71.3,99.1,93.5,86.0,58.6,20.9,40.2,53.9,35.7,31.5
176.1,75.4,93.8,95.1,79.5,57.9,22.6,40.0,56.8,38.1,32.8
175.5,71.8,95.6,92.3,79.9,55.2,21.5,41.6,54.5,38.1,32.3
