stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting,calf_circumference,arm_circumference_flexed
166.5,70.4,98.5,105.5,90.5,63.5,22.7,34.0,50.2,38.3,32.4
160.1,65.3,96.0,100.2,98.9,61.5,20.9,35.6,51.8,36.9,30.3
165.8,72.5,96.4,106.6,90.6,66.4,21.4,38.5,51.0,38.9,30.9
162.3,72.1,101.5,106.5,85.4,65.3,23.0,37.6,49.8,39.4,33.0
166.1,56.1,86.2,93.2,73.8,54.4,21.4,36.1,50.1,33.3,25.5
156.3,58.3,86.1,91.9,78.4,57.3,21.4,36.0,48.3,37.0,29.7
163.0,67.7,92.7,98.9,87.1,61.5,22.4,37.0,50.2,38.8,30.0
152.8,57.6,90.6,96.5,81.1,59.5,19.9,34.3,46.3,32.4,28.7
165.3,55.9,84.7,92.3,72.8,57.0,21.2,37.0,51.0,34.3,26.9
151.2,46.8,84.1,86.7,76.3,49.1,17.0,33.4,48.0,29.8,26.0
162.9,56.7,85.5,95.0,79.3,55.6,20.7,36.8,49.7,34.4,26.2
167.5,82.0,107.2,109.3,100.1,70.1,22.4,38.5,53.0,41.4,31.2
149.8,66.4,98.8,105.4,92.2,64.5,22.0,36.1,44.5,39.8,33.6
153.8,62.6,98.4,101.9,82.9,59.5,20.6,38.0,49.3,36.5,30.1
156.7,65.3,93.8,105.7,85.0,63.3,22.0,37.0,47.7,36.8,31.5
159.0,53.9,86.6,91.7,73.1,54.5,21.2,35.8,50.0,33.5,25.5
157.3,75.0,106.3,104.2,99.6,61.8,23.3,36.1,48.4,39.7,31.8
159.5,70.4,94.9,109.1,87.1,67.1,22.7,36.6,49.7,37.6,31.9
161.0,67.5,98.2,100.8,103.6,61.2,22.5,34.2,50.8,35.6,31.9
156.5,64.0,93.5,102.1,83.5,64.8,20.0,36.3,47.8,35.0,29.1
152.3,47.0,84.5,88.4,66.5,53.0,18.7,33.7,45.8,32.7,26.9
157.0,50.2,83.6,92.0,67.1,52.5,18.6,35.9,48.1,31.5,26.6
155.6,59.7,94.9,97.7,76.9,57.9,21.2,36.6,48.5,35.8,31.9
159.9,64.6,95.4,96.4,85.0,61.5,23.2,37.5,48.6,37.4,29.3
161.1,72.6,94.0,105.1,93.6,65.9,21.9,36.1,50.6,38.3,33.3
168.1,63.1,91.5,96.5,75.8,59.5,23.7,38.0,51.0,40.3,30.6
158.5,63.1,92.5,101.4,88.8,62.5,20.7,39.0,50.3,35.7,28.9
161.4,66.0,103.2,102.2,94.1,60.6,21.8,36.4,50.2,35.6,32.0
167.4,78.9,98.8,115.9,81.2,71.5,22.8,37.8,54.3,41.1,30.2
165.3,53.1,83.8,91.0,70.4,54.4,20.7,36.8,54.4,35.4,26.6
159.3,70.8,99.2,105.7,102.7,63.8,20.6,34.6,48.8,35.3,30.2
159.2,62.5,96.9,96.9,88.5,59.9,21.2,36.9,50.4,36.5,30.7
161.7,68.0,95.7,102.1,87.2,61.6,21.4,36.6,48.9,35.8,31.5
158.9,73.4,109.3,112.6,104.1,61.9,20.5,33.7,49.2,35.3,35.4
159.7,68.8,99.7,102.3,85.9,64.4,21.8,37.7,50.4,36.9,35.4
169.8,84.0,109.0,111.5,102.2,65.6,22.5,36.2,51.5,39.1,34.0
161.9,64.7,92.3,101.3,79.0,61.4,23.1,37.9,48.1,37.8,29.3
166.3,56.1,84.4,91.4,71.1,52.5,19.7,39.3,49.6,33.9,27.0
160.6,73.5,101.1,107.7,94.1,66.5,22.8,35.9,49.7,39.7,33.0
160.9,73.3,99.7,110.8,107.6,62.5,20.4,36.5,48.2,35.4,36.2
169.6,60.5,94.3,98.3,79.7,56.2,21.0,36.5,52.0,35.6,27.3
172.3,72.2,93.4,106.3,90.4,63.9,23.0,35.8,52.0,38.0,30.8
174.8,90.8,103.1,113.5,97.9,72.4,23.3,39.7,55.1,42.3,36.7
169.5,76.0,98.5,111.4,88.8,66.3,23.6,36.3,51.9,40.2,31.1
164.8,60.6,93.5,96.9,76.9,57.4,19.7,38.4,49.8,34.2,28.5
157.9,57.3,87.2,98.5,80.7,56.5,22.4,37.4,47.4,36.9,26.5
158.7,60.2,99.6,97.8,83.9,58.5,21.2,36.9,50.0,35.1,29.5
