Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1736,76.19,25.28124934,496,448,368.0,1000.0,838.0,1016,583,261,772.0,541,831,9.5,23.0,0.543778802,0.838,1.212410501
1826,91.61,27.47523,534,485,380.0,1070.0,850.0,1096,651,259,808.0,563,891,6.5,13.0,0.532858708,0.794392523,1.289411765
1765,82.54,26.49567848,484,426,383.0,1032.0,918.0,1006,639,280,830.0,573,836,19.0,19.0,0.511614731,0.889534884,1.095860566
1771,83.67,26.67673328,497,449,368.0,1004.0,961.0,1081,556,278,811.0,570,831,14.0,16.5,0.502540937,0.957171315,1.124869927
1770,75.51,24.10226946,463,456,367.0,983.0,805.0,932,564,268,764.0,539,815,7.0,11.0,0.544067797,0.818921668,1.157763975
1747,69.61,22.8079275,460,409,351.0,985.0,783.0,900,586,260,800.0,553,824,7.0,8.0,0.522610189,0.794923858,1.149425287
1775,113.15,35.91350922,569,506,428.0,1165.0,1094.0,1146,687,305,723.0,564,782,13.5,23.5,0.549859155,0.939055794,1.047531993
1872,109.3,31.18950435,541,460,435.0,1165.0,1026.0,1134,707,277,811.0,604,868,14.0,28.0,0.520833333,0.880686695,1.105263158
1677,76.87,27.33321742,518,429,385.0,1061.0,845.0,1022,645,248,712.0,497,815,10.5,15.0,0.559928444,0.796418473,1.209467456
1876,113.61,32.28129077,565,529,414.0,1144.0,1102.0,1183,659,283,847.0,601,910,14.0,29.5,0.499466951,0.963286713,1.073502722
1737,75.06,24.87762535,465,426,377.0,994.0,871.0,994,554,248,784.0,556,810,8.0,13.5,0.52964882,0.876257545,1.141216992
1743,65.08,21.42164264,461,396,367.0,973.0,864.0,906,515,253,804.0,550,849,12.5,13.0,0.514629948,0.887975334,1.048611111
1798,99.77,30.86175345,554,482,405.0,1065.0,1022.0,1136,605,273,740.0,552,867,17.0,32.0,0.540600667,0.959624413,1.111545988
1729,91.16,30.49399537,527,471,383.0,1048.0,935.0,1074,643,259,768.0,555,848,6.5,20.0,0.529786003,0.892175573,1.148663102
1730,73.02,24.39774132,463,409,356.0,1024.0,845.0,953,586,243,791.0,541,797,12.0,17.0,0.521965318,0.825195313,1.127810651
2084,106.58,24.54032368,523,483,412.0,1097.0,974.0,1007,635,294,952.0,645,955,9.0,16.0,0.524472169,0.887876026,1.033880903
1708,87.07,29.84645887,517,433,380.0,1040.0,981.0,1081,616,264,753.0,546,817,12.0,23.0,0.518735363,0.943269231,1.101936799
1746,95.46,31.31359652,549,491,398.0,1110.0,928.0,1068,690,258,746.0,535,825,11.5,20.5,0.546391753,0.836036036,1.150862069
1613,59.18,22.74606239,446,394,317.0,909.0,726.0,861,555,236,700.0,520,777,4.0,8.0,0.5133292,0.798679868,1.185950413
1809,87.76,26.81757358,490,455,402.0,1030.0,982.0,1070,596,256,824.0,561,852,13.5,17.0,0.525152018,0.953398058,1.089613035
1882,90.93,25.67248761,524,475,366.0,1021.0,909.0,1056,581,277,850.0,589,880,12.0,17.5,0.526036132,0.890303624,1.161716172
1636,62.81,23.46724972,475,408,325.0,906.0,811.0,885,507,242,696.0,508,787,10.0,17.5,0.534841076,0.895143488,1.091245376
1591,69.16,27.32213452,461,440,353.0,954.0,872.0,986,551,224,695.0,485,753,11.5,16.0,0.532998114,0.914046122,1.130733945
1743,75.74,24.93047347,493,407,377.0,1021.0,892.0,912,587,276,794.0,564,839,12.5,17.5,0.512335055,0.873653281,1.022421525
1679,89.8,31.85480452,504,470,366.0,1009.0,956.0,1149,589,260,707.0,520,805,6.5,27.0,0.54675402,0.947472745,1.201882845
1762,91.38,29.43332633,516,471,408.0,1045.0,1120.0,1093,617,271,780.0,563,820,21.0,30.5,0.515323496,1.071770335,0.975892857
1700,79.37,27.46366782,464,397,389.0,1057.0,880.0,970,651,260,762.0,535,807,14.0,12.5,0.534705882,0.832544939,1.102272727
1721,74.38,25.11275926,483,418,362.0,970.0,913.0,997,568,266,763.0,543,813,11.0,18.0,0.519465427,0.941237113,1.092004381
1789,84.35,26.35508406,485,445,390.0,1044.0,936.0,1023,578,275,783.0,564,812,18.0,25.0,0.525433203,0.896551724,1.092948718
1865,141.95,40.81104586,599,525,488.0,1305.0,1216.0,1236,767,284,835.0,606,912,36.0,42.5,0.490080429,0.931800766,1.016447368
1704,75.28,25.92629328,519,456,374.0,983.0,865.0,1038,560,258,751.0,525,807,8.5,19.0,0.538732394,0.879959308,1.2
1749,80.73,26.39096882,483,418,391.0,1053.0,901.0,963,610,256,757.0,539,806,16.0,27.0,0.539165237,0.855650522,1.068812431
