weight,stature,calf_circumference,biacromial_breadth,bicristal_breadth,waist_circumference,biceps_circumference_flexed
610.0,1624.0,373.0,344.0,227.0,735.0,298.0
793.0,1702.0,379.0,366.0,247.0,927.0,316.0
646.0,1626.0,371.0,350.0,206.0,793.0,300.0
712.0,1705.0,379.0,372.0,227.0,862.0,301.0
602.0,1629.0,336.0,356.0,245.0,815.0,259.0
770.0,1680.0,377.0,375.0,227.0,872.0,337.0
585.0,1610.0,331.0,332.0,198.0,775.0,278.0
609.0,1622.0,366.0,343.0,237.0,734.0,272.0
604.0,1640.0,350.0,347.0,222.0,818.0,279.0
564.0,1592.0,339.0,348.0,213.0,732.0,278.0
633.0,1641.0,362.0,380.0,186.0,730.0,285.0
511.0,1639.0,330.0,342.0,211.0,705.0,261.0
623.0,1611.0,320.0,359.0,225.0,847.0,302.0
467.0,1568.0,316.0,341.0,235.0,640.0,255.0
590.0,1606.0,337.0,348.0,193.0,789.0,252.0
692.0,1662.0,363.0,364.0,212.0,761.0,295.0
563.0,1592.0,351.0,360.0,206.0,715.0,280.0
640.0,1599.0,365.0,365.0,217.0,843.0,286.0
646.0,1681.0,304.0,361.0,236.0,907.0,280.0
472.0,1518.0,311.0,328.0,167.0,695.0,265.0
734.0,1706.0,366.0,368.0,249.0,861.0,293.0
635.0,1788.0,351.0,394.0,242.0,767.0,273.0
655.0,1594.0,375.0,346.0,197.0,781.0,285.0
563.0,1580.0,351.0,382.0,196.0,708.0,268.0
887.0,1738.0,424.0,397.0,220.0,894.0,335.0
560.0,1541.0,353.0,364.0,213.0,722.0,280.0
705.0,1667.0,374.0,395.0,217.0,805.0,305.0
639.0,1576.0,376.0,359.0,195.0,808.0,286.0
615.0,1595.0,366.0,344.0,212.0,762.0,299.0
600.0,1685.0,344.0,366.0,219.0,786.0,271.0
546.0,1502.0,340.0,362.0,216.0,771.0,278.0
719.0,1670.0,390.0,373.0,201.0,893.0,304.0
575.0,1705.0,348.0,378.0,231.0,749.0,263.0
602.0,1486.0,384.0,364.0,214.0,833.0,313.0
686.0,1710.0,362.0,370.0,246.0,901.0,270.0
608.0,1566.0,336.0,363.0,206.0,788.0,302.0
567.0,1522.0,331.0,362.0,205.0,816.0,253.0
525.0,1653.0,330.0,361.0,214.0,690.0,250.0
657.0,1731.0,351.0,364.0,196.0,785.0,267.0
669.0,1630.0,352.0,360.0,210.0,794.0,290.0
600.0,1591.0,351.0,373.0,251.0,849.0,275.0
558.0,1572.0,327.0,350.0,218.0,821.0,265.0
638.0,1570.0,355.0,366.0,218.0,803.0,300.0
625.0,1590.0,332.0,360.0,197.0,802.0,282.0
577.0,1577.0,356.0,355.0,216.0,680.0,308.0
475.0,1558.0,309.0,357.0,193.0,663.0,270.0
626.0,1544.0,368.0,344.0,193.0,742.0,292.0
602.0,1565.0,355.0,360.0,218.0,775.0,296.0
623.0,1584.0,338.0,359.0,216.0,838.0,297.0
675.0,1738.0,361.0,364.0,261.0,808.0,295.0
532.0,1630.0,336.0,352.0,215.0,692.0,268.0
504.0,1541.0,314.0,350.0,190.0,721.0,270.0
623.0,1663.0,357.0,358.0,222.0,824.0,262.0
674.0,1591.0,358.0,352.0,208.0,801.0,288.0
647.0,1599.0,366.0,391.0,227.0,885.0,302.0
558.0,1685.0,336.0,362.0,250.0,716.0,251.0
580.0,1603.0,349.0,370.0,223.0,772.0,260.0
518.0,1545.0,310.0,342.0,215.0,738.0,272.0
515.0,1582.0,317.0,356.0,194.0,708.0,247.0
671.0,1656.0,372.0,368.0,192.0,773.0,288.0
492.0,1606.0,295.0,344.0,225.0,712.0,255.0
552.0,1592.0,347.0,353.0,219.0,727.0,265.0
609.0,1708.0,356.0,331.0,206.0,697.0,272.0
627.0,1592.0,342.0,358.0,210.0,819.0,262.0
669.0,1752.0,372.0,353.0,230.0,732.0,275.0
635.0,1653.0,366.0,360.0,177.0,742.0,283.0
616.0,1641.0,345.0,379.0,226.0,770.0,273.0
529.0,1540.0,356.0,335.0,210.0,642.0,263.0
695.0,1518.0,364.0,358.0,229.0,1038.0,298.0
600.0,1629.0,362.0,367.0,189.0,726.0,297.0
582.0,1730.0,331.0,353.0,247.0,695.0,254.0
583.0,1576.0,360.0,348.0,212.0,753.0,281.0
757.0,1660.0,389.0,376.0,258.0,1018.0,307.0
663.0,1663.0,378.0,355.0,209.0,736.0,289.0
567.0,1619.0,360.0,383.0,227.0,747.0,247.0
731.0,1600.0,384.0,367.0,247.0,946.0,322.0
648.0,1640.0,350.0,372.0,211.0,749.0,265.0
581.0,1578.0,331.0,361.0,224.0,883.0,262.0
828.0,1752.0,391.0,384.0,280.0,871.0,325.0
706.0,1603.0,372.0,341.0,240.0,910.0,315.0
580.0,1713.0,357.0,359.0,257.0,714.0,254.0
605.0,1660.0,355.0,357.0,208.0,756.0,270.0
561.0,1632.0,345.0,388.0,186.0,700.0,270.0
597.0,1565.0,351.0,352.0,200.0,785.0,292.0
613.0,1628.0,362.0,366.0,246.0,836.0,278.0
610.0,1726.0,355.0,367.0,214.0,704.0,266.0
570.0,1610.0,337.0,361.0,208.0,739.0,245.0
600.0,1584.0,346.0,362.0,217.0,778.0,280.0
685.0,1606.0,356.0,365.0,202.0,885.0,306.0
580.0,1628.0,335.0,374.0,196.0,743.0,270.0
604.0,1571.0,352.0,350.0,197.0,781.0,282.0
584.0,1691.0,356.0,385.0,240.0,724.0,254.0
642.0,1609.0,358.0,355.0,178.0,798.0,317.0
691.0,1680.0,389.0,380.0,257.0,785.0,284.0
588.0,1626.0,348.0,361.0,202.0,711.0,287.0
530.0,1532.0,340.0,341.0,175.0,656.0,292.0
714.0,1649.0,410.0,362.0,197.0,760.0,301.0
526.0,1662.0,315.0,347.0,234.0,717.0,258.0
513.0,1638.0,322.0,341.0,228.0,733.0,266.0
609.0,1624.0,352.0,380.0,207.0,723.0,275.0
793.0,1665.0,397.0,388.0,253.0,875.0,312.0
677.0,1696.0,371.0,363.0,224.0,837.0,285.0
548.0,1566.0,341.0,364.0,208.0,772.0,260.0
575.0,1578.0,358.0,322.0,226.0,869.0,280.0
678.0,1673.0,358.0,355.0,239.0,1009.0,268.0
695.0,1628.0,329.0,354.0,232.0,905.0,295.0
459.0,1525.0,328.0,362.0,214.0,679.0,242.0
599.0,1632.0,328.0,346.0,186.0,754.0,280.0
684.0,1717.0,360.0,374.0,194.0,786.0,278.0
652.0,1659.0,368.0,356.0,207.0,744.0,303.0
662.0,1703.0,362.0,345.0,235.0,778.0,282.0
571.0,1626.0,362.0,373.0,203.0,725.0,266.0
553.0,1680.0,336.0,350.0,244.0,753.0,256.0
565.0,1626.0,330.0,353.0,215.0,691.0,260.0
586.0,1598.0,355.0,363.0,235.0,746.0,265.0
675.0,1679.0,367.0,364.0,211.0,783.0,295.0
652.0,1673.0,378.0,377.0,221.0,709.0,289.0
624.0,1589.0,350.0,360.0,199.0,784.0,284.0
548.0,1608.0,344.0,346.0,225.0,784.0,257.0
700.0,1607.0,371.0,367.0,240.0,915.0,319.0
610.0,1597.0,367.0,359.0,198.0,735.0,280.0
602.0,1724.0,357.0,353.0,229.0,750.0,252.0
540.0,1623.0,331.0,343.0,189.0,786.0,253.0
670.0,1580.0,375.0,367.0,197.0,799.0,296.0
565.0,1544.0,345.0,357.0,195.0,787.0,283.0
642.0,1786.0,340.0,386.0,239.0,789.0,241.0
788.0,1563.0,368.0,370.0,216.0,1011.0,331.0
634.0,1637.0,353.0,354.0,236.0,800.0,280.0
717.0,1699.0,399.0,351.0,215.0,839.0,285.0
551.0,1648.0,323.0,337.0,199.0,728.0,262.0
702.0,1682.0,385.0,392.0,226.0,805.0,287.0
629.0,1611.0,341.0,357.0,185.0,798.0,293.0
653.0,1650.0,348.0,363.0,232.0,850.0,287.0
604.0,1667.0,382.0,346.0,225.0,734.0,255.0
533.0,1578.0,340.0,355.0,172.0,667.0,255.0
568.0,1573.0,356.0,340.0,230.0,835.0,270.0
820.0,1744.0,389.0,391.0,236.0,904.0,314.0
