Stature,Weight,BMI,Shoulder Breadth,Armscye Circumference,"Hip Breadth, Sitting","Hip Circumference, Maximum","Waist Circumference, Pref",Chest Circumference,Thigh Circumference,Ankle Circumference,Crotch Height,Knee Height,Arm Length (Spine to Wrist),Triceps Skinfold,Subscapular Skinfold,SH/S,Waist/Hip,Chest/Waist
1662,82.31,29.79823651,446,395,466.0,1190.0,792.0,1004,730,254,784.0,532,835,35.5,28.0,0.518050542,0.665546218,1.267676768
1580,51.02,20.4374299,400,325,366.0,912.0,648.0,850,534,229,736.0,488,753,9.0,13.0,0.532911392,0.710526316,1.311728395
1525,68.48,29.44584789,403,381,435.0,1095.0,754.0,960,646,243,718.0,498,774,36.5,32.0,0.512786885,0.688584475,1.273209549
1625,110.2,41.73254438,439,421,560.0,1408.0,985.0,1133,827,284,770.0,534,802,39.0,49.0,0.500923077,0.699573864,1.150253807
1626,71.66,27.10414558,435,398,371.0,1005.0,878.0,982,573,242,714.0,498,751,34.0,31.0,0.52398524,0.873631841,1.118451025
1594,96.6,38.01898273,473,438,460.0,1214.0,973.0,1115,783,284,737.0,513,828,56.0,58.0,0.527603513,0.801482702,1.145940391
1650,76.87,28.23507805,454,396,422.0,1102.0,848.0,1005,661,247,770.0,539,834,35.0,36.0,0.513333333,0.769509982,1.185141509
1687,98.87,34.74036435,466,400,515.0,1337.0,1028.0,1169,700,271,799.0,548,852,13.5,37.0,0.505631298,0.768885565,1.137159533
1654,80.95,29.59005979,448,388,457.0,1123.0,939.0,1122,670,240,792.0,535,817,30.0,38.5,0.507859734,0.836153161,1.194888179
1651,77.55,28.45035276,424,398,435.0,1075.0,858.0,1110,646,251,777.0,528,829,37.0,35.0,0.51120533,0.798139535,1.293706294
1615,65.99,25.30073134,418,366,410.0,1051.0,829.0,956,639,245,763.0,522,808,21.0,26.0,0.504643963,0.788772598,1.153196622
1517,88.44,38.43063605,445,426,467.0,1258.0,1075.0,1136,750,233,671.0,479,762,42.0,52.0,0.514831905,0.854531002,1.056744186
1713,61.22,20.86308845,407,328,378.0,978.0,753.0,885,576,242,803.0,525,785,21.0,17.0,0.521891419,0.76993865,1.175298805
1519,76.42,33.12008827,404,374,449.0,1186.0,792.0,960,724,262,710.0,495,740,27.0,34.0,0.508229098,0.667790894,1.212121212
