weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
72.7,162.2,38.0,101.4,95.5,110.4,104.8,64.9,40.0,37.1,21.7,27.6,15.5,15.3,53.4,23.9,71.4,42.1,40.3,25.2,54.0,36.0,133.32222222222225
59.3,166.9,37.7,84.1,69.4,94.7,103.0,59.2,37.3,37.5,21.3,24.7,15.1,15.1,57.1,25.4,79.4,42.5,40.9,22.4,58.5,36.6,122.1965811965812
99.8,174.5,40.1,105.7,106.8,120.5,114.2,79.1,51.3,45.3,24.0,29.4,16.7,16.3,60.2,27.3,84.5,44.5,41.5,29.7,55.0,40.4,137.6228187919463
58.1,149.5,35.4,98.6,94.8,99.9,101.5,59.3,36.7,33.0,19.0,24.6,14.4,13.6,48.9,22.6,68.3,42.8,35.7,27.1,53.0,35.6,131.10942028985508
64.2,149.3,36.7,95.1,91.2,104.5,103.0,62.4,40.0,37.0,20.7,26.5,14.7,14.5,49.0,22.4,69.1,40.4,34.1,26.6,53.1,35.0,151.45555555555555
75.8,164.1,39.0,106.8,98.9,102.7,110.8,61.2,39.2,39.4,23.3,27.5,16.0,14.7,54.1,24.2,79.0,41.5,39.4,28.2,55.6,37.3,138.35454545454544
68.3,160.7,37.5,94.5,88.7,105.1,103.1,64.8,43.0,39.0,22.5,26.3,15.4,14.0,53.2,23.9,72.1,44.6,35.6,23.8,54.0,37.9,128.70967741935482
47.1,156.0,34.6,82.6,69.8,87.1,94.5,50.8,32.2,32.0,20.3,23.7,14.5,13.2,51.2,23.5,72.9,41.2,39.0,20.0,54.3,35.0,118.09477911646586
66.5,162.5,36.0,97.8,82.2,97.5,104.5,61.9,38.2,37.0,22.0,26.1,15.4,13.7,53.6,24.7,76.4,42.9,37.4,24.5,55.0,35.4,128.8581081081081
68.5,167.0,36.3,97.8,88.5,102.7,104.7,63.9,38.2,36.4,19.6,23.8,14.7,14.6,55.5,24.1,76.6,47.1,41.8,24.8,55.2,37.3,138.57879858657245
57.9,161.6,35.3,87.0,76.4,94.7,101.4,54.1,36.5,35.4,22.0,25.6,15.6,14.7,52.0,23.5,75.0,40.9,37.9,22.7,55.8,37.2,120.61363636363637
64.7,158.2,37.4,108.0,94.3,96.6,108.0,53.0,34.8,35.2,21.0,26.1,15.7,13.7,51.1,22.6,72.5,39.9,36.5,28.6,54.9,37.7,143.04635761589404
59.1,173.0,35.7,92.1,80.9,95.1,103.6,54.2,36.0,32.5,19.7,24.4,14.6,17.0,59.3,27.4,84.7,43.4,43.3,24.1,57.3,40.1,114.27222222222221
45.0,150.1,32.6,84.6,73.9,87.4,95.5,49.7,33.0,30.4,18.7,22.5,13.6,14.5,47.9,21.2,70.9,38.3,35.6,22.5,52.1,35.5,126.54152542372881
57.2,151.5,34.4,95.9,82.6,96.0,99.0,54.6,37.2,36.1,21.0,27.4,15.5,12.8,48.0,21.3,67.4,43.7,35.1,24.7,53.2,33.9,135.0501872659176
72.1,157.6,38.7,102.2,96.2,103.0,111.8,63.2,39.6,38.3,22.2,28.5,16.0,15.1,53.8,23.3,73.8,42.4,36.8,27.2,56.6,38.7,144.86936026936027
67.6,162.8,35.3,87.8,84.9,102.9,101.3,64.5,41.7,36.4,20.2,25.9,15.2,15.8,54.1,24.5,79.0,43.0,41.9,24.4,58.8,37.4,118.11190476190477
71.1,158.6,35.9,102.9,95.1,104.8,106.7,61.4,37.7,36.5,20.7,25.9,15.2,14.3,51.5,22.4,71.6,42.1,36.8,27.7,58.0,36.1,147.59014598540145
